SeqID,Ref,Label,Cell,cDNA.Batch,Index.1,Index.2,Qubit,Ave.Size,Molarity,X4nM,Lib,ddH2O,Pool,People,genecounts.ID,Sample
49,CMI-072,RM1-111,DIDH,sc1,15/6/18,S503,N702,18.5,962,29.13752914,7.284382284,1,6.3,FD02703014,Aurelie,RM1_111_D_sc,RM1_111_D_sc
50,CMI-073,RM1-112,DID-,sc1,21/6/18,S505,N702,14,678,31.28631447,7.821578618,1,6.8,FD02703014,Aurelie,RM1_112_P_sc,RM1_112_P_sc
51,CMI-074,RM1-114,DID-,sc3,21/6/18,S506,N702,13.4,941,21.5760152,5.3940038,1,4.4,FD02703014,Aurelie,RM1_114_P_sc,RM1_114_P_sc
52,CMI-075,RM1-116,DID-,sc5,21/6/18,S507,N702,18.8,1033,27.57487753,6.893719382,1,5.9,FD02703014,Aurelie,RM1_116_P_sc,RM1_116_P_sc
53,CMI-076,RM1-118,DID-,sc7,21/6/18,S508,N702,26.6,708,56.92518404,14.23129601,1,13.2,FD02703014,Aurelie,RM1_118_P_sc,RM1_118_P_sc
54,CMI-077,RM1-120,DIDL,sc1,21/6/18,S510,N702,23.4,705,50.2901354,12.57253385,1,11.6,FD02703014,Aurelie,RM1_120_I_sc,RM1_120_I_sc
55,CMI-078,RM1-123,DIDH,sc1,21/6/18,S511,N702,10.1,909,16.83501684,4.208754209,1,3.2,FD02703014,Aurelie,RM1_123_D_sc,RM1_123_D_sc
56,CMI-079,RM1-124,DID-,sc1,21/6/18,S502,N701,21,766,41.53809637,10.38452409,1,9.4,FD02703014,Aurelie,RM1_124_P_sc,RM1_124_P_sc
57,CMI-080,RM1-126,DID-,sc3,21/6/18,S503,N701,9.16,646,21.48419176,5.371047941,1,4.4,FD02703014,Aurelie,RM1_126_P_sc,RM1_126_P_sc
58,CMI-081,RM1-128,DIDL,sc1,21/6/18,S505,N701,10.8,770,21.2514758,5.312868949,1,4.3,FD02703014,Aurelie,RM1_128_I_sc,RM1_128_I_sc
59,CMI-082,RM1-130,DIDL,sc3,21/6/18,S506,N701,8.96,959,14.15616014,3.539040035,1,2.5,FD02703014,Aurelie,RM1_130_I_sc,RM1_130_I_sc
66,CMI-089,RM1-23,DIDL,sc2,24/5/18,S510,N701,25.4,549,70.09990617,17.52497654,1,16.5,FD02704430,Aurelie,RM1_23_I_sc,RM1_23_I_sc
67,CMI-090,RM1-25,DIDH,sc2,24/5/18,S511,N701,21,894,35.5908074,8.897701851,1,7.9,FD02704430,Aurelie,RM1_25_D_sc,RM1_25_D_sc
68,CMI-091,RM1-27,DID-,sc2,24/5/18,S502,N702,11.4,989,17.46484052,4.36621013,1,3.4,FD02704430,Aurelie,RM1_27_P_sc,RM1_27_P_sc
69,CMI-092,RM1-30,DIDL,sc2,24/5/18,S503,N702,15.6,742,31.85493752,7.963734379,1,7,FD02704430,Aurelie,RM1_30_I_sc,RM1_30_I_sc
70,CMI-093,RM1-31,DIDL,sc3,24/5/18,S505,N702,20.4,1005,30.75531434,7.688828584,1,6.7,FD02704430,Aurelie,RM1_31_I_sc,RM1_31_I_sc
71,CMI-094,RM1-33,DIDH,sc2,24/5/18,S506,N702,16.9,698,36.68490058,9.171225145,1,8.2,FD02704430,Aurelie,RM1_33_D_sc,RM1_33_D_sc
72,CMI-095,RM1-35,DIDH,sc4,24/5/18,S507,N702,17.9,915,29.64066898,7.410167246,1,6.4,FD02704430,Aurelie,RM1_35_D_sc,RM1_35_D_sc
73,CMI-096,RM1-37,DID-,sc2,30/5/18,S508,N702,15,703,32.3289797,8.082244924,1,7.1,FD02704430,Aurelie,RM1_37_P_sc,RM1_37_P_sc
74,CMI-097,RM1-39,DID-,sc4,30/5/18,S510,N702,16.2,896,27.39448052,6.84862013,1,5.8,FD02704430,Aurelie,RM1_39_P_sc,RM1_39_P_sc
75,CMI-098,RM1-41,DID-,sc6,30/5/18,S511,N702,15,872,26.06338616,6.515846539,1,5.5,FD02704430,Aurelie,RM1_41_P_sc,RM1_41_P_sc
76,CMI-099,RM1-43,DIDL,sc2,30/5/18,S502,N703,15.2,866,26.59388341,6.648470852,1,5.6,FD02704430,Aurelie,RM1_43_I_sc,RM1_43_I_sc
77,CMI-100,RM1-45,DIDL,sc4,30/5/18,S503,N703,17.6,686,38.87269193,9.718172983,1,8.7,FD02704430,Aurelie,RM1_45_I_sc,RM1_45_I_sc
78,CMI-101,RM1-47,DIDL,sc6,30/5/18,S505,N703,14.8,968,23.16553969,5.791384924,1,4.8,FD02704430,Aurelie,RM1_47_I_sc,RM1_47_I_sc
79,CMI-102,RM1-48,DIDL,sc7,30/5/18,S506,N703,21.2,871,36.87854434,9.219636085,1,8.2,FD02704430,Aurelie,RM1_48_I_sc,RM1_48_I_sc
80,CMI-103,RM1-50,DIDH,sc2,30/5/18,S507,N703,30.4,652,70.64510132,17.66127533,1,16.7,FD02704430,Aurelie,RM1_50_D_sc,RM1_50_D_sc
81,CMI-104,RM1-52,DIDH,sc4,30/5/18,S508,N703,18.4,778,35.83391758,8.958479395,1,8,FD02704430,Aurelie,RM1_52_D_sc,RM1_52_D_sc
82,CMI-105,RM1-54,DIDH,sc6,30/5/18,S510,N703,6.46,437,22.39789196,5.599472991,1,4.6,FD02704430,Aurelie,RM1_54_D_sc,RM1_54_D_sc
83,CMI-106,RM1-55,DIDH,sc7,30/5/18,S511,N703,13.9,736,28.61495389,7.153738472,1,6.2,FD02704430,Aurelie,RM1_55_D_sc,RM1_55_D_sc
84,CMI-107,RM1-57,DIDL,sc2,31/5/18,S502,N704,12.5,1025,18.4774575,4.619364375,1,3.6,FD02704430,Aurelie,RM1_57_I_sc,RM1_57_I_sc
85,CMI-108,RM1-59,DIDH,sc2,31/5/18,S503,N704,24.8,709,52.99824764,13.24956191,1,12.2,FD02704430,Aurelie,RM1_59_D_sc,RM1_59_D_sc
86,CMI-109,RM1-61,DIDH,sc4,31/5/18,S505,N704,18.1,931,29.45675878,7.364189695,1,6.4,FD02704430,Aurelie,RM1_61_D_sc,RM1_61_D_sc
87,CMI-110,RM1-63,DIDL,sc2,31/5/18,S506,N704,15.2,918,25.08747607,6.271869017,1,5.3,FD02704430,Aurelie,RM1_63_I_sc,RM1_63_I_sc
88,CMI-111,RM1-66,DIDH,sc2,31/5/18,S507,N704,16.4,981,25.3297501,6.332437525,1,5.3,FD02704430,Aurelie,RM1_66_D_sc,RM1_66_D_sc
89,CMI-112,RM1-68,DIDH,sc4,31/5/18,S508,N704,15,724,31.39126067,7.847815168,1,6.8,FD02704430,Aurelie,RM1_68_D_sc,RM1_68_D_sc
