"","orig.ident","nCount_RNA","nFeature_RNA","Sample","Sample_ID","Plate_ID","Well_ID","Tissue","Pop","Batch","percent.mt","RNA_snn_res.1.5","seurat_clusters","type"
"214","SeuratProject",2348219.97,2464,"S216_P7_E2_Bone_td_Batch4","S216","P7","E2","Bone","td","Batch4",0.0998368990107856,"2","2","Other"
"215","SeuratProject",2236134.62,1963,"S217_P7_F2_Bone_td_Batch4","S217","P7","F2","Bone","td","Batch4",0.323596349489907,"2","2","Other"
"216","SeuratProject",1979964.85,2821,"S218_P7_C4_Bone_ZolGFPtd_Batch4","S218","P7","C4","Bone","ZolGFPtd","Batch4",2.38313271066403,"0","0","Osteoclast"
"217","SeuratProject",3334334.65,2443,"S219_P7_C7_Marrow_td_Batch4","S219","P7","C7","Marrow","td","Batch4",0.160707924143127,"2","2","Other"
"218","SeuratProject",3141776.49,2457,"S220_P7_E7_Marrow_td_Batch4","S220","P7","E7","Marrow","td","Batch4",0.389005075278286,"2","2","Other"
"219","SeuratProject",1828843.72,3938,"S221_P7_F7_Marrow_td_Batch4","S221","P7","F7","Marrow","td","Batch4",5.67883733663148,"5","5","Other"
"220","SeuratProject",2256186.37,2694,"S222_P7_C9_Marrow_ZolGFPtd_Batch4","S222","P7","C9","Marrow","ZolGFPtd","Batch4",4.47891235155365,"1","1","Osteomorph"
"221","SeuratProject",3205659.95,3013,"S223_P8_C1_Marrow_GFP_Batch5","S223","P8","C1","Marrow","GFP","Batch5",0.794054590849537,"1","1","Other"
"222","SeuratProject",2536803.75,1747,"S224_P8_D1_Marrow_GFP_Batch5","S224","P8","D1","Marrow","GFP","Batch5",0.0816689111248751,"5","5","Other"
"223","SeuratProject",5983195.01,2180,"S225_P8_D2_Marrow_td_Batch5","S225","P8","D2","Marrow","td","Batch5",0.365861215678477,"2","2","Other"
"224","SeuratProject",1966308.08,2049,"S226_P8_E2_Marrow_td_Batch5","S226","P8","E2","Marrow","td","Batch5",0.00901893257744229,"4","4","Other"
"225","SeuratProject",2990688.56,2226,"S227_P8_E6_Marrow_GFP_Batch5","S227","P8","E6","Marrow","GFP","Batch5",0.149147592954313,"2","2","Other"
"226","SeuratProject",1688709.3,2827,"S228_P8_F6_Marrow_GFP_Batch5","S228","P8","F6","Marrow","GFP","Batch5",0.430149819154783,"1","1","Other"
"227","SeuratProject",4220156.42,3304,"S229_P8_C9_Marrow_ZolGFPtd_Batch5","S229","P8","C9","Marrow","ZolGFPtd","Batch5",0.995571628598544,"2","2","Osteomorph"
"228","SeuratProject",2316178.84,2393,"S230_P8_D9_Marrow_ZolGFPtd_Batch5","S230","P8","D9","Marrow","ZolGFPtd","Batch5",0.195216359026922,"4","4","Osteomorph"
"229","SeuratProject",3032609.39,2619,"S231_P9_C1_Marrow_GFP_Batch5","S231","P9","C1","Marrow","GFP","Batch5",1.12916685257642,"1","1","Other"
"230","SeuratProject",2731158.7,1760,"S232_P9_F1_Marrow_GFP_Batch5","S232","P9","F1","Marrow","GFP","Batch5",0.276208775418287,"4","4","Other"
"231","SeuratProject",1997827.8,1731,"S233_P9_C2_Marrow_td_Batch5","S233","P9","C2","Marrow","td","Batch5",0.231232141228588,"5","5","Other"
"232","SeuratProject",3465148.64,2122,"S234_P9_D2_Marrow_td_Batch5","S234","P9","D2","Marrow","td","Batch5",0.214065564587151,"4","4","Other"
"233","SeuratProject",2715541.43,1851,"S235_P9_F2_Marrow_td_Batch5","S235","P9","F2","Marrow","td","Batch5",0.0738265296876726,"5","5","Other"
"234","SeuratProject",2997190.45,4305,"S236_P9_F4_Marrow_ZolGFPtd_Batch5","S236","P9","F4","Marrow","ZolGFPtd","Batch5",0.252226881344827,"3","3","Osteomorph"
"235","SeuratProject",3117604.84,2203,"S237_P9_C6_Marrow_GFP_Batch5","S237","P9","C6","Marrow","GFP","Batch5",0.137769224145803,"5","5","Other"
"236","SeuratProject",3685811.2,2030,"S238_P9_D6_Marrow_GFP_Batch5","S238","P9","D6","Marrow","GFP","Batch5",0.0670479269258285,"4","4","Other"
"237","SeuratProject",2750372.93,2309,"S239_P9_F6_Marrow_GFP_Batch5","S239","P9","F6","Marrow","GFP","Batch5",0.113684219543275,"4","4","Other"
"238","SeuratProject",2607665.46,2454,"S240_P9_C7_Marrow_td_Batch5","S240","P9","C7","Marrow","td","Batch5",0.275674932627286,"4","4","Other"
"239","SeuratProject",3451869.83,2457,"S241_P9_D7_Marrow_td_Batch5","S241","P9","D7","Marrow","td","Batch5",0.314799240271467,"2","2","Other"
"240","SeuratProject",2539275.08,2074,"S242_P9_E7_Marrow_td_Batch5","S242","P9","E7","Marrow","td","Batch5",0.178049240730547,"5","5","Other"
"241","SeuratProject",3206446.15,2440,"S243_P9_F7_Marrow_td_Batch5","S243","P9","F7","Marrow","td","Batch5",0.106850071378869,"4","4","Other"
"242","SeuratProject",3573525.24,2981,"S244_P9_F9_Marrow_ZolGFPtd_Batch5","S244","P9","F9","Marrow","ZolGFPtd","Batch5",0.618964706123077,"4","4","Osteomorph"
