Sample,DiD,MouseID,Batch,Date
X1C_Neg_17_2151_SMART10_12_15,X1C_Neg_17_2151_SMART10_12_15,Proliferating,2151,B1,10_12_15
X1C_Neg_17_2151_SMART18_12_15,X1C_Neg_17_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_18_2149_SMART19_12_15,X1C_Neg_18_2149_SMART19_12_15,Proliferating,2149,B3,19_12_15
X1C_Neg_18_2150_SMART19_12_15,X1C_Neg_18_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_18_2151_SMART10_12_15,X1C_Neg_18_2151_SMART10_12_15,Proliferating,2151,B1,10_12_15
X1C_Neg_19_2151_SMART18_12_15,X1C_Neg_19_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_20_2149_SMART19_12_15,X1C_Neg_20_2149_SMART19_12_15,Proliferating,2149,B3,19_12_15
X1C_Neg_20_2150_SMART19_12_15,X1C_Neg_20_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_21_2149_SMART19_12_15,X1C_Neg_21_2149_SMART19_12_15,Proliferating,2149,B3,19_12_15
X1C_Neg_21_2150_SMART19_12_15,X1C_Neg_21_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_21_2151_SMART18_12_15,X1C_Neg_21_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_22_2150_SMART19_12_15,X1C_Neg_22_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_22_2151_SMART18_12_15,X1C_Neg_22_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_23_2149_SMART19_12_15,X1C_Neg_23_2149_SMART19_12_15,Proliferating,2149,B3,19_12_15
X1C_Neg_23_2150_SMART19_12_15,X1C_Neg_23_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_23_2151_SMART18_12_15,X1C_Neg_23_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_24_2149_SMART19_12_15,X1C_Neg_24_2149_SMART19_12_15,Proliferating,2149,B3,19_12_15
X1C_Neg_24_2150_SMART19_12_15,X1C_Neg_24_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_24_2151_SMART18_12_15,X1C_Neg_24_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_25_2149_SMART19_12_15,X1C_Neg_25_2149_SMART19_12_15,Proliferating,2149,B3,19_12_15
X1C_Neg_25_2150_SMART19_12_15,X1C_Neg_25_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_25_2151_SMART18_12_15,X1C_Neg_25_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_26_2149_SMART19_12_15,X1C_Neg_26_2149_SMART19_12_15,Proliferating,2149,B3,19_12_15
X1C_Neg_26_2151_SMART18_12_15,X1C_Neg_26_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_27_2149_SMART19_12_15,X1C_Neg_27_2149_SMART19_12_15,Proliferating,2149,B3,19_12_15
X1C_Neg_27_2150_SMART19_12_15,X1C_Neg_27_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_28_2149_SMART19_12_15,X1C_Neg_28_2149_SMART19_12_15,Proliferating,2149,B3,19_12_15
X1C_Neg_28_2150_SMART19_12_15,X1C_Neg_28_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
