Sample,DiD,PlateID,Batch
S62_Neg_P5_C3_B2,S62_Neg_P5_C3_B2,Reactivated,P5,B2
S64_Neg_P5_C6_B2,S64_Neg_P5_C6_B2,Reactivated,P5,B2
S66_Neg_P5_D3_B2,S66_Neg_P5_D3_B2,Reactivated,P5,B2
S13_Neg_P0_B4_B1,S13_Neg_P0_B4_B1,Reactivated,P0,B1
S68_Hi_P6_A1_B3,S68_Hi_P6_A1_B3,Dormant,P6,B3
S70_Hi_P6_A3_B3,S70_Hi_P6_A3_B3,Dormant,P6,B3
S72_Hi_P6_A5_B3,S72_Hi_P6_A5_B3,Dormant,P6,B3
S74_Hi_P6_B4_B3,S74_Hi_P6_B4_B3,Dormant,P6,B3
S76_Neg_P6_C3_B3,S76_Neg_P6_C3_B3,Reactivated,P6,B3
S78_Neg_P6_D2_B3,S78_Neg_P6_D2_B3,Reactivated,P6,B3
S80_Neg_P6_D5_B3,S80_Neg_P6_D5_B3,Reactivated,P6,B3
S82_Hi_P7_A2_B3,S82_Hi_P7_A2_B3,Dormant,P7,B3
S84_Hi_P7_B3_B3,S84_Hi_P7_B3_B3,Dormant,P7,B3
S86_Neg_P7_C3_B3,S86_Neg_P7_C3_B3,Reactivated,P7,B3
S15_Neg_P0_B6_B1,S15_Neg_P0_B6_B1,Reactivated,P0,B1
S88_Neg_P7_C6_B3,S88_Neg_P7_C6_B3,Reactivated,P7,B3
S90_Neg_P7_D2_B3,S90_Neg_P7_D2_B3,Reactivated,P7,B3
S92_Neg_P7_D5_B3,S92_Neg_P7_D5_B3,Reactivated,P7,B3
S17_Neg_P0_B9_B1,S17_Neg_P0_B9_B1,Reactivated,P0,B1
ID,ID,Reactivated,ID,ID
